,vtuber,music,original,collab,collabVTuber,id,channelId,publishedAt,memo
105,天神子兎音,六兆年と一夜の物語,kemu,False,,ppviITDUY6U,UCAr7rLi_Wn09G-XfTA07d4g,2019-06-15 23:00:11,
106,天神子兎音,Butter-Fly,デジモンアドベンチャー,True,Maya Putri,qsMXlPX7LT4,UCAr7rLi_Wn09G-XfTA07d4g,2019-05-29 19:00:14,
107,天神子兎音,DAYBREAK FRONTLINE,Orangestar,False,,B_eTv-9jB9U,UCAr7rLi_Wn09G-XfTA07d4g,2019-05-10 21:00:02,
108,天神子兎音,アスノヨゾラ哨戒班,Orangestar,False,,kVMrmU4eZU8,UCAr7rLi_Wn09G-XfTA07d4g,2019-04-26 21:00:17,
109,天神子兎音,ブリキノダンス,日向電工,False,,iT0KFo5VD2s,UCAr7rLi_Wn09G-XfTA07d4g,2019-04-19 21:00:06,
110,天神子兎音,ヒバナ,DECO*27,False,,H-PibUs-W7k,UCAr7rLi_Wn09G-XfTA07d4g,2019-04-06 21:00:03,
111,天神子兎音,This game,鈴木このみ,False,,aj1yNOS7LvM,UCAr7rLi_Wn09G-XfTA07d4g,2019-03-29 21:00:01,
112,天神子兎音,乙女解剖,DECO*27,False,,j5AoE0m7_ZE,UCAr7rLi_Wn09G-XfTA07d4g,2019-03-23 21:00:11,
113,天神子兎音,さよならメモリーズ,supercell,False,,Cs5GieimxBs,UCAr7rLi_Wn09G-XfTA07d4g,2019-03-16 21:00:01,
114,天神子兎音,アンデッドエネミー,ギガP,False,,ckU1zTua0G8,UCAr7rLi_Wn09G-XfTA07d4g,2019-02-15 21:00:06,
115,天神子兎音,不協和音,欅坂46,False,,rEiCTfOcCZs,UCAr7rLi_Wn09G-XfTA07d4g,2019-03-08 21:00:06,
116,天神子兎音,サイレントマジョリティ ー,欅坂46,False,,My-1Qfn-I44,UCAr7rLi_Wn09G-XfTA07d4g,2019-02-08 21:01:42,
117,天神子兎音,終わりへ向かう始まりの歌,supercell,False,,496Y52OT1_g,UCAr7rLi_Wn09G-XfTA07d4g,2019-02-01 21:00:00,
118,天神子兎音,天ノ弱,164,False,,apoSRXjAdq8,UCAr7rLi_Wn09G-XfTA07d4g,2019-01-25 21:00:02,
